"s","ID","nome","starttime","endTime"
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016202-(1948-01-01)","016202","SORISOLE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016212-(1948-01-01)","016212","TELGATE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016220-(1983-05-20)","016220","TREVIOLO",1983-05-20,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016222-(1948-01-01)","016222","URGNANO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016226-(1948-01-01)","016226","VALLEVE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016232-(1948-01-01)","016232","VERDELLINO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016236-(1948-01-01)","016236","VIGANO SAN MARTINO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016239-(1951-09-11)","016239","VILLA D'ALMÈ",1951-09-11,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016253-(2014-02-04)","016253","VAL BREMBILLA",2014-02-04,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017001-(2002-10-26)","017001","ACQUAFREDDA",2002-10-26,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017004-(1948-01-01)","017004","ALFIANELLO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017008-(1957-07-12)","017008","AZZANO MELLA",1957-07-12,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017026-(1948-01-01)","017026","BRANDICO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017027-(1949-08-27)","017027","BRAONE",1949-08-27,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017038-(1948-01-01)","017038","CAPRIOLO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017041-(1948-01-01)","017041","CASTELCOVATI",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017047-(1948-01-21)","017047","CEDEGOLO",1948-01-21,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017061-(1948-01-01)","017061","CONCESIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017081-(1948-01-01)","017081","GUSSAGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017095-(1948-01-01)","017095","LOZIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017106-(1948-01-01)","017106","MARONE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017116-(1948-01-01)","017116","MUSCOLINE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017145-(1967-11-24)","017145","POLPENAZZE DEL GARDA",1967-11-24,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017147-(1956-10-07)","017147","PONCARALE",1956-10-07,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017148-(1948-01-01)","017148","PONTE DI LEGNO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017153-(1948-01-01)","017153","PRESEGLIE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017160-(2002-10-26)","017160","REMEDELLO",2002-10-26,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017173-(1948-01-01)","017173","SAN ZENO NAVIGLIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017175-(1957-12-26)","017175","SAVIORE DELL'ADAMELLO",1957-12-26,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017178-(1948-01-01)","017178","SERLE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017189-(2013-11-12)","017189","TREMOSINE SUL GARDA",2013-11-12,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017191-(1948-01-01)","017191","TREVISO BRESCIANO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017204-(1948-01-01)","017204","VOBARNO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018003-(1948-01-01)","018003","ALBONESE",1948-01-01,9999-12-31
