codice_ente,ente_controllore,punto_prelievo,tipologia_punto_prelievo,indirizzo_punto_prelievo,comune_punto_prelievo,codice_comune,provincia_punto_prelievo,latitudine,longitudine,location,id_campione,macro_categoria_parametro,categoria_parametro,parametro,tipo_parametro,codice_parametro,risultato,unit_misura,esito,data_referto,anno_referto,indirizzo_di_georeferenziazione,frazione_punto_prelievo,valore_testuale,unita_di_misura_testuale,segno
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151750U0392","Punti rete","VIA BOBBIO/C.NA BESOZZA","PIOLTELLO","015175","MILANO","45.50055","9.3266","POINT (9.3266 45.50055)","6144-2020-PREL_ACQ-48265-625674","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","408.0","µS/cm","Conforme","2020-11-03","2020","VIA BOBBIO/C.NA BESOZZA",,"408","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015201NU0022","Punti rete","Via Roma","SAN VITTORE OLONA","015201","MILANO","45.58837","8.93673","POINT (8.93673 45.58837)","2592-2020-PREL_ACQ-45076-245611","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","430.0","µS/cm","Conforme","2020-10-12","2020","VIA ROMA",,"430","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151920U0069","Punti rete","via Fermi 8 (5-bis), San Donato Milanese","SAN DONATO MILANESE","015192","MILANO","45.4271208","9.2568116","POINT (9.2568116 45.4271208)","4470-2020-PREL_ACQ-11439-625688","Chimico","Anioni","cloruro","Indicatore","16887-00-6","4.0","mg/l","Conforme","2020-05-12","2020","VIA ENRICO FERMI,8 5 BIS SAN DONATO MILANESE",,"< 4","milligrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152049U0004","Punti rete","Via Giovanni XXXIII","SEDRIANO","015204","MILANO","45.4886272","8.9634928","POINT (8.9634928 45.4886272)","1915-2020-PREL_ACQ-24949-245611","Chimico","Solventi alogenati","1,1-dicloroetilene","Indicatore","75-35-4","0.4","µg/l","Conforme","2020-06-10","2020","Via Papa Giovanni XXIII",,"0.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015194NU0004","Punti rete","Via Rimembranze","SAN GIORGIO SU LEGNANO","015194","MILANO","45.5718","8.90785","POINT (8.90785 45.5718)","2578-2020-PREL_ACQ-10374-245611","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","433.0","µS/cm","Conforme","2020-04-15","2020","VIALE DELLE RIMEMBRANZE",,"433","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152069U0004","Punti rete","Via Adda","SENAGO","015206","MILANO","45.578643","9.130157","POINT (9.130157 45.578643)","1248-2020-PREL_ACQ-3422-245611","Chimico","Solventi alogenati","trialometani totali","Normato",,"0.4","µg/l","Conforme","2020-03-05","2020","VIA ADDA",,"< 0.4","microgrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","RE015221XUR053","Punti rete","VIAXXV APRILE, Trezzo sull'adda","TREZZO SULL'ADDA","015221","MILANO","45.6067353","9.5166157","POINT (9.5166157 45.6067353)","202014671-001","Chimico","Metalli","arsenico","Normato","7440-38-2","4.0","µg/l","Conforme","2020-11-03","2020","VIA XXV APRILE,TREZZO SULL'ADDA",,"4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151730UM002","Punti rete","via Pini / Olmi, Pieve Emanuele","PIEVE EMANUELE","015173","MILANO","45.3493715","9.1990891","POINT (9.1990891 45.3493715)","188-2020-PREL_ACQ-2266-625672","Chimico","Anioni","solfato","Indicatore","14808-79-8","4.0","mg/l","Conforme","2020-02-27","2020","Via dei Pini & Via Olmi",,"4","milligrammi per litro",
"030325","ATS DI BERGAMO","RE016037XU0001","Punti rete","via Foscolo","BREMBATE","016037","BERGAMO","45.60614","9.5587","POINT (9.5587 45.60614)","20LA00441","Fisico","torbidita","torbidita","Indicatore",,"0.4","NTU","Conforme","2020-02-20","2020","VIA UGO FOSCOLO",,"0.4","nephelometric turbidity unit",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015058NU0020","Punti rete","Via Ossona","CASOREZZO","015058","MILANO","45.51962","8.90373","POINT (8.90373 45.51962)","1971-2020-PREL_ACQ-48981-245611","Microbiologico","Batteri","conteggio delle colonie a 22°c","Indicatore",,"43.0","ufc/ml","Conforme","2020-11-06","2020","STRADA PER OSSONA",,"43","unita formanti colonia per millilitro",
