IdSensore,Data,Valore,Stato,idOperatore,Parametro,unita_di_misura,codice_ats,nome_ats,Tipologia,IdStazione,NomeStazione,Quota,lat,lng,Provincia
8016,2019-12-01 00:00:00,-4.6,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
8017,2019-12-01 00:00:00,111.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
8020,2019-12-01 00:00:00,115.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,846,Edolo Pantano d`Avio,2108,46.1770002163179,10.472817754713557,BS
8027,2019-12-01 00:00:00,-7.8,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
8028,2019-12-01 00:00:00,126.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
8030,2019-12-01 00:00:00,40.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
8092,2019-12-01 00:00:00,-4.5,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
8093,2019-12-01 00:00:00,115.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
8112,2019-12-01 00:00:00,128.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Livello Idrometrico,818,Gera Lario Fuentes,199,46.150320945462944,9.41226415814798,CO
8133,2019-12-01 00:00:00,2.2,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,819,Lozio,994,45.985806882663645,10.259749527330223,BS
8134,2019-12-01 00:00:00,2.3,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,820,Pisogne,842,45.81610845411331,10.156944059526896,BS
8187,2019-12-01 00:00:00,1.1,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,905,Cevo,1128,46.080550839800345,10.377774775825152,BS
