"bacino_idrografico","corso_d_acqua","corpo_idrico","provincia","comune","codice_comune","coord_x","coord_y","codice_stazione","data_campionamento","parametro","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Ammoniaca (non ionizzata)","0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro",,"0.002","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Azoto nitroso","0,005","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","016002","574,903","5,063,200","N0080600061lo1","2018-11-20","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Azoto nitroso","0,004","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.004","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-03-28","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Azoto nitroso","0,004","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.004","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-06-19","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Azoto nitroso","0,004","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.004","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-09-19","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
