"provincia","comune","codice_comune","codice_pp","data_di_campionamento","parametro","coord_est","coord_nord","standard_di_qualit_valore","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Cloruro di Vinile","548,179","5,047,669",,"<0,25","75-01-4",,,"µg/l",,"microgrammi per litro","<","0,25","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Somma tricloroetilene + tetracloroetilene","548,179","5,047,669",,"1,2",,,"CHM-TTC-0","µg/l",,"microgrammi per litro",,"1,2","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Nitrobenzene","548,179","5,047,669",,"<2,5","98-95-3",,,"µg/l",,"microgrammi per litro","<","2,5","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Esaclorobenzene","548,179","5,047,669",,"<0,02","118-74-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Azoto organico","548,179","5,047,669",,"<2",,,"CHM-AZO-0","mg/l",,"milligrammi per litro","<","2","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Bicarbonati","548,179","5,047,669",,"152,06","71-52-3",,,"mg/l","HCO3","milligrammi per litro",,"152,06","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Durezza (totale)","548,179","5,047,669",,"320",,,"CASID20001","mg/l","CaCO3","milligrammi per litro",,"320","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Magnesio","548,179","5,047,669",,"29","7439-95-4",,,"mg/l",,"milligrammi per litro",,"29","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Alachlor","548,179","5,047,669",,"<0,02","15972-60-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Metolachlor","548,179","5,047,669",,"<0,02","51218-45-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Molinate","548,179","5,047,669",,"<0,02","2212-67-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Simazina","548,179","5,047,669",,"<0,02","122-34-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Terbutilazina","548,179","5,047,669",,"<0,02","5915-41-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
