"provincia","comune","codice_comune","codice_pp","data_di_campionamento","parametro","coord_est","coord_nord","standard_di_qualit_valore","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Molinate","545,694","5,035,362",,"<0,02","2212-67-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Nitrati","545,694","5,035,362",,"21,7","14797-55-8",,,"mg/l",,"milligrammi per litro",,"21,7","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Simazina","545,694","5,035,362",,"<0,02","122-34-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Terbutilazina","545,694","5,035,362",,"<0,02","5915-41-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Benzene","545,694","5,035,362",,"<0,2","71-43-2",,,"µg/l",,"microgrammi per litro","<","0,2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Ossigeno % di saturazione","545,694","5,035,362",,"69,2",,"WISE 3131-01-9",,"% sat.",,"percentuale saturazione",,"69,2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Chlorfenvinphos","545,694","5,035,362",,"<0,02","470-90-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Cianazina","545,694","5,035,362",,"<0,02","21725-46-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Clorpirifos","545,694","5,035,362",,"<0,02","2921-88-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Clorpirifos Metile","545,694","5,035,362",,"<0,02","5598-13-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Esazinone","545,694","5,035,362",,"<0,02","51235-04-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Flufenacet","545,694","5,035,362",,"<0,02","142459-58-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Metalaxyl","545,694","5,035,362",,"0,02","57837-19-1",,,"µg/l",,"microgrammi per litro",,"0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Oxadiazon","545,694","5,035,362",,"<0,02","19666-30-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Oxadixyl","545,694","5,035,362",,"<0,02","77732-09-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Paration etile","545,694","5,035,362",,"<0,02","56-38-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Paration metile","545,694","5,035,362",,"<0,02","298-00-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Pendimetalin","545,694","5,035,362",,"<0,02","40487-42-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Pretilachlor","545,694","5,035,362",,"<0,02","51218-49-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Propazina","545,694","5,035,362",,"<0,02","139-40-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Secbutilazina","545,694","5,035,362",,"<0,02","7286-69-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
